protocol,action_type,call_block_time,block_number,call_tx_hash,symbol,user,dai_unint
maker,join_dai_dsr,2020/02/26 20:55:08,9.561427e+06,46fc4c787290a6ec185f03d2f5efa0e2585106c0718db74c11e238ddc0754158,DAI,850ec948c2027c8f68928a7aec1520e830c06ee0,1000
maker,join_dai_dsr,2020/02/26 20:57:21,9.561441e+06,1b56d7f8bb2e01cb3929e82acbed356b09dfd348f737f367e3e5959a29d635ef,DAI,6a80c605ee75d8eeef8721fc46c054491546a680,53838.18850099479
maker,join_dai_dsr,2020/02/26 21:06:21,9.561473e+06,0c1e1c7068452a077794645081aa5583b766a70a80c829c7257a3b3655b3f1d4,DAI,fd0035c20bd70abdedc118dd1d34b2ed1cce870a,149
maker,join_dai_dsr,2020/02/26 21:24:41,9.561575e+06,ead9123ee1fe8f8740440e442a5efdfa2cc027fcc2f50af694f89cebbdcf6b80,DAI,99fda0406450df9c37e6f3dd486f231c0dc0d27d,25
maker,join_dai_dsr,2020/02/26 21:26:59,9.561585e+06,1e834866f464c4c2752315081c43c992fa76e9fdea4a6fbd099f27585c18859d,DAI,99a63e3799dc3c62eaba4c7da5de6a391baf1d53,10
maker,join_dai_dsr,2020/02/26 21:29:02,9.561589e+06,19daab75703de522d7fb35fcc165b156d0c91ebb3b1dbe87da6c5618cbbffd4f,DAI,9225f45227e4153cace3a2cf58553d497f57bd35,250
maker,join_dai_dsr,2020/02/26 21:29:28,9.561591e+06,b8392de5471f802b048635cab9019cd359069fe23662213a43d89ae48b0ebc62,DAI,4b1a187d7e6d8f2eb3ac46961db3468fb824e991,543.5108377372
maker,join_dai_dsr,2020/02/26 21:40:47,9.561645e+06,e50acc6ef071c15c79ec9a6bf168c4579c0893ccfd88ba308721fc30a480e8e2,DAI,203cfe1d269a4808e2efb4d0922667ce35fee326,177.86581
maker,join_dai_dsr,2020/02/26 22:04:03,9.561752e+06,a2a8ca6475191df155a21c6c2fbaedfb78eaab8da10ed16f47230325b8cd78bb,DAI,1d7a9bfe89a83e89bb70411ad851c49997183659,100
maker,join_dai_dsr,2020/02/26 22:04:03,9.561752e+06,5eb345c3467c75bb31f2ea2d2c552c075f4fc09701f4fa677f3e386fe2cd4464,DAI,1e89ae13a253640e78e236117251443bb21089c0,4700.336701337777
maker,join_dai_dsr,2020/02/26 22:07:21,9.56177e+06,8d6b2a45a637aa09e8a0c0506537dcfb831500a7aee87d3186e9d8416213816c,DAI,39be2cd052d15e3707723335b95338649897a0dd,10.10460078295209
maker,join_dai_dsr,2020/02/26 22:09:11,9.561778e+06,cfa4675b8700b955ed0a9ce6f7b8bcbfacd308f6ea62143d4c309e38d62db60f,DAI,14c67c304d8b960c1edaa02bcd0dcfec9f7152c2,2.12155
