protocol,action_type,kick_time,kick_block_number,kick_hash,debt_auction_id,kick_lot,evt_index,dent_time,dent_block_number,dent_hash,dent_lot,deal_time,deal_block_number,deal_hash
maker,debt_auction,2020/03/19 15:14:20,9.702855e+06,0b640429e937d64804a988b066e08cb4be2a15a7b4a7976ee6126b68c3be5fa6,6,250,71,2020/03/19 23:02:16,9.704939e+06,91d1f4ff02a5c8583974c3e455578a9522112f1324d52f7ee8bd9aa60ae11cf9,214.9,2020/03/20 21:00:04,9.710879e+06,a850290eed7c4f58403a192bef68960fee442e4358bc4f1175afea3d807375fc
maker,debt_auction,2020/03/19 15:14:20,9.702855e+06,0b640429e937d64804a988b066e08cb4be2a15a7b4a7976ee6126b68c3be5fa6,6,250,71,2020/03/19 23:44:26,9.705147e+06,4f26e7e2c8831bb6ccae34d4d03a1b178ba93eb9a5892908fa8a84cb2589eff0,208.33333333333334,2020/03/20 21:00:04,9.710879e+06,a850290eed7c4f58403a192bef68960fee442e4358bc4f1175afea3d807375fc
maker,debt_auction,2020/03/19 15:14:20,9.702855e+06,0b640429e937d64804a988b066e08cb4be2a15a7b4a7976ee6126b68c3be5fa6,6,250,71,2020/03/20 03:56:32,9.706239e+06,d364f31f2e73fecd009b8f53f71375a8caf0bec36e97babd10ec24734a10061d,202.26537216828478,2020/03/20 21:00:04,9.710879e+06,a850290eed7c4f58403a192bef68960fee442e4358bc4f1175afea3d807375fc
maker,debt_auction,2020/03/19 15:14:20,9.702855e+06,0b640429e937d64804a988b066e08cb4be2a15a7b4a7976ee6126b68c3be5fa6,6,250,71,2020/03/20 05:23:20,9.706642e+06,36a2c548543e034dfe4d91c1733f981b44882e85e96c257eaa0b093b9c8b8f9a,188.67924528301887,2020/03/20 21:00:04,9.710879e+06,a850290eed7c4f58403a192bef68960fee442e4358bc4f1175afea3d807375fc
maker,debt_auction,2020/03/19 15:14:20,9.702855e+06,0b640429e937d64804a988b066e08cb4be2a15a7b4a7976ee6126b68c3be5fa6,6,250,71,2020/03/20 10:17:47,9.707969e+06,6bb1a88d146924978fe69e1bda5c96496badb3d4b2e94cc53cf2e052e19a4d17,183.18373328448433,2020/03/20 21:00:04,9.710879e+06,a850290eed7c4f58403a192bef68960fee442e4358bc4f1175afea3d807375fc
maker,debt_auction,2020/03/19 15:14:20,9.702855e+06,0b640429e937d64804a988b066e08cb4be2a15a7b4a7976ee6126b68c3be5fa6,6,250,71,2020/03/20 13:50:18,9.708908e+06,a2ac30cfa7e30f3d12737ffef3c7afa34e2d60b475e99a2aa513e1c004c55ca4,177.8482847422178,2020/03/20 21:00:04,9.710879e+06,a850290eed7c4f58403a192bef68960fee442e4358bc4f1175afea3d807375fc
maker,debt_auction,2020/03/19 15:14:20,9.702855e+06,0b640429e937d64804a988b066e08cb4be2a15a7b4a7976ee6126b68c3be5fa6,6,250,71,2020/03/20 14:55:58,9.709191e+06,78ec816cb78fabe5052770c7c3a6315b85c09bc5de1f0ee0ccd1582b1f55a901,172.66743561231326,2020/03/20 21:00:04,9.710879e+06,a850290eed7c4f58403a192bef68960fee442e4358bc4f1175afea3d807375fc
maker,debt_auction,2020/03/19 15:21:57,9.702888e+06,5782a78c772a178efd372d94dd8178c1948ce57b2c7abb833e2f6f4f64c8dcd1,7,250,179,2020/03/19 15:22:20,9.70289e+06,1435daa63f835db863cf8a5376aff190a0f0fd5aa46e10bcbcedf40ddf08ea7b,242,2020/03/20 11:27:43,9.708296e+06,aa4232299a7993261e5a368cb5f21dd8e508bbf99dc3fc4ed9988446cff02e93
maker,debt_auction,2020/03/19 15:21:57,9.702888e+06,5782a78c772a178efd372d94dd8178c1948ce57b2c7abb833e2f6f4f64c8dcd1,7,250,179,2020/03/19 15:37:13,9.702951e+06,c43ac021f5b0a8909646be8136ee4e97b7ffd011e00caa4427dbc9fd30e55d5e,234.95145631067962,2020/03/20 11:27:43,9.708296e+06,aa4232299a7993261e5a368cb5f21dd8e508bbf99dc3fc4ed9988446cff02e93
maker,debt_auction,2020/03/19 15:21:57,9.702888e+06,5782a78c772a178efd372d94dd8178c1948ce57b2c7abb833e2f6f4f64c8dcd1,7,250,179,2020/03/19 18:08:35,9.703619e+06,91538dcf2c4ffd846cf0666e10a9fb0bb7452b85e57dcce7825b957640f3ec9f,222.22222222222223,2020/03/20 11:27:43,9.708296e+06,aa4232299a7993261e5a368cb5f21dd8e508bbf99dc3fc4ed9988446cff02e93
maker,debt_auction,2020/03/19 15:21:57,9.702888e+06,5782a78c772a178efd372d94dd8178c1948ce57b2c7abb833e2f6f4f64c8dcd1,7,250,179,2020/03/19 19:13:46,9.70392e+06,7437cda9576310393f85177026991830dc659d5489b3ae7b0d955776f7dc2218,215.7497303128371,2020/03/20 11:27:43,9.708296e+06,aa4232299a7993261e5a368cb5f21dd8e508bbf99dc3fc4ed9988446cff02e93
maker,debt_auction,2020/03/19 15:21:57,9.702888e+06,5782a78c772a178efd372d94dd8178c1948ce57b2c7abb833e2f6f4f64c8dcd1,7,250,179,2020/03/19 23:53:09,9.705191e+06,f03524430233d67417ac192a61a35459e15abf14073b9a860e6c92e3931f188a,208.33333333333334,2020/03/20 11:27:43,9.708296e+06,aa4232299a7993261e5a368cb5f21dd8e508bbf99dc3fc4ed9988446cff02e93
maker,debt_auction,2020/03/19 15:21:57,9.702888e+06,5782a78c772a178efd372d94dd8178c1948ce57b2c7abb833e2f6f4f64c8dcd1,7,250,179,2020/03/20 03:58:23,9.706242e+06,e8a2756d4f4118c300fe65191fee55971eed1e95435c7996f70e2af9cf018f2f,202.26537216828478,2020/03/20 11:27:43,9.708296e+06,aa4232299a7993261e5a368cb5f21dd8e508bbf99dc3fc4ed9988446cff02e93
