protocol,action_type,kick_time,kick_block,kick_evt_hash,surplus_auction_id,lot_unit_of_dai,tend_time,tend_block_number,bid_call_hash,bid_price_unit_of_mkr,deal_time,deal_block_number,deal_hash
maker,surplus,11/25/2021 12:33:52,1.3683486e+07,3095344addc5c2abbe0eb5166d9fc553108a202b59c15c6d9dbf82ae430766e1,1350,30000,11/25/2021 12:33:52,1.3683486e+07,3095344addc5c2abbe0eb5166d9fc553108a202b59c15c6d9dbf82ae430766e1,8.52045679099274,11/25/2021 17:04:10,1.3684692e+07,4b8d11d4c6e852a97d243b645c5b9f809bf2c33a8e87fd5ecfc3f18a3d5c4754
maker,surplus,11/25/2021 14:18:34,1.3683969e+07,1205893463f3b5648ded30f7f47889c9ea4627f610043d936dcf0cb1d1ef54e1,1351,30000,11/25/2021 14:18:34,1.3683969e+07,1205893463f3b5648ded30f7f47889c9ea4627f610043d936dcf0cb1d1ef54e1,8.508664587530356,11/25/2021 14:49:06,1.36841e+07,c066ff0d935f14555b8b1c2ecc614d56ddd22ea8e7858f1f11555dc573d7477b
maker,surplus,11/25/2021 16:02:02,1.3684413e+07,3281b4af0229d9bc469c78ea6fa2c0f7de6920aa5aed8a75d97a40f6f0c7a65a,1352,30000,11/25/2021 16:02:02,1.3684413e+07,3281b4af0229d9bc469c78ea6fa2c0f7de6920aa5aed8a75d97a40f6f0c7a65a,8.42105606123928,11/25/2021 17:04:10,1.3684692e+07,4b8d11d4c6e852a97d243b645c5b9f809bf2c33a8e87fd5ecfc3f18a3d5c4754
maker,surplus,11/25/2021 16:02:02,1.3684413e+07,3281b4af0229d9bc469c78ea6fa2c0f7de6920aa5aed8a75d97a40f6f0c7a65a,1352,30000,11/25/2021 16:28:00,1.3684538e+07,bce7b464a4207b0fbeb3ceb7c420268af8470eecb1ec06bbdf435dfaba6f4c8b,8.75810124365038,11/25/2021 17:04:10,1.3684692e+07,4b8d11d4c6e852a97d243b645c5b9f809bf2c33a8e87fd5ecfc3f18a3d5c4754
maker,surplus,11/25/2021 17:50:30,1.3684896e+07,5ef875fe8c95f7cce1f35dd20f68e83752ea34c2736e6ae28f59fbe85bd2c50c,1353,30000,11/25/2021 17:50:30,1.3684896e+07,5ef875fe8c95f7cce1f35dd20f68e83752ea34c2736e6ae28f59fbe85bd2c50c,8.5352800703581,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/25/2021 19:33:08,1.3685337e+07,01b15e01937ba270a899c9c82be5de5bfac398159c6faddf2d59815ed0ee05dd,1354,30000,11/25/2021 19:47:00,1.3685403e+07,150efc6d5d79b9ffd65d4db89c19054d7f92011c54d869d42d29d5cc8b33dfb6,8.947013971817407,11/25/2021 20:53:03,1.3685686e+07,a60be086fb8fe08c46bee6b661fbbf8ac697b9670926e07d539fe8da1b2b04af
maker,surplus,11/25/2021 19:33:08,1.3685337e+07,01b15e01937ba270a899c9c82be5de5bfac398159c6faddf2d59815ed0ee05dd,1354,30000,11/25/2021 19:33:08,1.3685337e+07,01b15e01937ba270a899c9c82be5de5bfac398159c6faddf2d59815ed0ee05dd,8.60289804982443,11/25/2021 20:53:03,1.3685686e+07,a60be086fb8fe08c46bee6b661fbbf8ac697b9670926e07d539fe8da1b2b04af
maker,surplus,11/25/2021 21:16:09,1.3685785e+07,7a0b19b4856ac0a4a501f7e46a11e6ebe1d4941ecd07df434aac396d0fd9dfc9,1355,30000,11/25/2021 21:16:09,1.3685785e+07,7a0b19b4856ac0a4a501f7e46a11e6ebe1d4941ecd07df434aac396d0fd9dfc9,8.702320893433004,11/25/2021 21:47:56,1.3685938e+07,6050d45b5ff421cfa23d6edb4824063fbe005492f964c8453b414358f34a652c
maker,surplus,11/25/2021 22:57:31,1.3686249e+07,85dd0e1b08d51eda0d5a47b773636f3a41109b80ea0d54b9c502e947dae8ed80,1356,30000,11/25/2021 22:57:31,1.3686249e+07,85dd0e1b08d51eda0d5a47b773636f3a41109b80ea0d54b9c502e947dae8ed80,8.73865506522291,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 00:43:42,1.3686697e+07,cdac3d0ba2f3e74c67e46786b63c8e2ec3775c7e667cf6c77f58ad9dcd785e16,1357,30000,11/26/2021 00:43:42,1.3686697e+07,cdac3d0ba2f3e74c67e46786b63c8e2ec3775c7e667cf6c77f58ad9dcd785e16,8.66796950589303,11/26/2021 01:14:11,1.3686841e+07,414cf792dbc7269e0ba7ceacbf7b51a7195c81faecc4c2cb7213ce37abd0d929
maker,surplus,11/26/2021 02:30:53,1.3687144e+07,c834c2d5893d599b5f2daeb31e9a350ef1ac99c6020aed5493b2a588d3a06dd7,1358,30000,11/26/2021 02:30:53,1.3687144e+07,c834c2d5893d599b5f2daeb31e9a350ef1ac99c6020aed5493b2a588d3a06dd7,8.56131932664984,11/26/2021 03:01:49,1.3687271e+07,a6e34276ad5c1589835b317136db76bffd07bd4d02c3a6639fe2f610ac2ed8ff
maker,surplus,11/26/2021 04:12:29,1.3687578e+07,5a7532fed2fefe8347f0ff6810fee783b6a6d1d9dacd218bd6ed0ba75d72b573,1359,30000,11/26/2021 04:41:21,1.3687705e+07,bb0f6daa7257caa4e7316ec07ca1626a99e072f3c4c152f8be73fa978d693815,8.94081182571378,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 04:12:29,1.3687578e+07,5a7532fed2fefe8347f0ff6810fee783b6a6d1d9dacd218bd6ed0ba75d72b573,1359,30000,11/26/2021 04:12:29,1.3687578e+07,5a7532fed2fefe8347f0ff6810fee783b6a6d1d9dacd218bd6ed0ba75d72b573,8.59681620903663,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 05:54:21,1.3688029e+07,dd32b8f54ff9f3727f52e1e695296fa26b6be706389beb72200c5d0d70ecb799,1360,30000,11/26/2021 05:54:21,1.3688029e+07,dd32b8f54ff9f3727f52e1e695296fa26b6be706389beb72200c5d0d70ecb799,8.86727445985039,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 05:54:21,1.3688029e+07,dd32b8f54ff9f3727f52e1e695296fa26b6be706389beb72200c5d0d70ecb799,1360,30000,11/26/2021 06:23:07,1.3688159e+07,9b6cbbb1bd200162b2795d6c33d59395b6ba7d7a57f202cee1032635b064e34a,9.22197288739971,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 07:43:05,1.3688503e+07,dc12a9f15c92309dffce01ca763377ec45edef0ba8bdf43265fce9910fc38a88,1361,30000,11/26/2021 07:43:05,1.3688503e+07,dc12a9f15c92309dffce01ca763377ec45edef0ba8bdf43265fce9910fc38a88,9.109482340166153,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 07:43:05,1.3688503e+07,dc12a9f15c92309dffce01ca763377ec45edef0ba8bdf43265fce9910fc38a88,1361,30000,11/26/2021 08:04:05,1.368859e+07,0dc1b27bfad60f6b0e7732521b02540cdb392f3886cec9a1f8a76f1bd4123e59,9.47567909033481,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 09:28:47,1.3688932e+07,24f01a96b95bbef6b25107a9c73e34e5c299734476c718bd69a19f43882b6eb1,1362,30000,11/26/2021 09:28:47,1.3688932e+07,24f01a96b95bbef6b25107a9c73e34e5c299734476c718bd69a19f43882b6eb1,9.593768331550677,11/26/2021 09:58:55,1.3689056e+07,b5ec70f83b178399b482a2f4b8134463897ad20ee28c1e4a570b9172f0d5bfec
maker,surplus,11/26/2021 11:00:54,1.3689325e+07,d9178e67b96dc6c43ed637528631e9f5032a8d2647eb3c24f64ca595d9feff69,1363,30000,11/26/2021 11:14:01,1.368938e+07,faca56b05f56c564074042463182fb7bfda5c0be1f522cbd37676edf5e013c19,9.99666777740753,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 11:00:54,1.3689325e+07,d9178e67b96dc6c43ed637528631e9f5032a8d2647eb3c24f64ca595d9feff69,1363,30000,11/26/2021 11:00:54,1.3689325e+07,d9178e67b96dc6c43ed637528631e9f5032a8d2647eb3c24f64ca595d9feff69,9.609975248120143,11/26/2021 13:21:41,1.3689975e+07,cfbc40cc9eb61679fc6b4a96bf7c6e1228c3f0cd658b9931d98fb7956e548e9b
maker,surplus,11/26/2021 12:39:30,1.3689772e+07,c31c5bfb9b66c4d69159f9d624cc45dbb60344eff790a299f217bf8199cc3cf1,1364,30000,11/26/2021 12:39:30,1.3689772e+07,c31c5bfb9b66c4d69159f9d624cc45dbb60344eff790a299f217bf8199cc3cf1,9.632105110462724,11/26/2021 13:09:59,1.3689919e+07,494a0eee3a221ec3e8451cced70f75d3b556d78346ef22a9344c5d7c94738267
maker,surplus,11/26/2021 13:35:15,1.3690042e+07,6316e2caa276bf14f22c3f18e33486d085091d758aa769878b8430e0be09093b,1365,30000,11/26/2021 13:35:15,1.3690042e+07,6316e2caa276bf14f22c3f18e33486d085091d758aa769878b8430e0be09093b,9.51152026820736,11/26/2021 22:19:11,1.3692353e+07,e120ca2ad145b3d1348a80a43f8e797505e381325df645f03243a7d40fba4151
